color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
color,justin chadwick,141,8324748,biography|drama|history,mandela: long walk to freedom,2013,english,uk,35000000,7.1,"terry pheto,fana mokoena,tony kgoroge",13000
color,oliver stone,141,47307550,crime|drama|thriller,savages,2012,english,usa,45000000,6.5,"demián bichir,shea whigham,gary stretch",28000
color,david dobkin,141,47105085,crime|drama,the judge,2014,english,usa,50000000,7.4,"robert downey jr.,robert duvall,leighton meester",47000
color,ryan murphy,140,80574010,drama|romance,eat pray love,2010,english,usa,60000000,5.7,"james franco,julia roberts,billy crudup",26000
color,james wan,140,350034110,action|crime|thriller,furious 7,2015,english,usa,190000000,7.2,"jason statham,paul walker,vin diesel",94000
color,derek cianfrance,140,21383298,crime|drama|thriller,the place beyond the pines,2012,english,usa,15000000,7.3,"ryan gosling,ben mendelsohn,angelo anthony pizza",47000
color,gavin o'connor,140,13651662,drama|sport,warrior,2011,english,usa,25000000,8.2,"tom hardy,frank grillo,kevin dunn",77000
color,unknown,139,150832203,adventure|mystery|sci-fi,divergent,2014,english,usa,85000000,6.7,"kate winslet,theo james,mekhi phifer",49000
color,gary ross,139,20389967,action|biography|drama|history|war,free state of jones,2016,english,usa,50000000,6.7,"matthew mcconaughey,donald watkins,jessica collins",10000
color,tate taylor,139,30513940,biography|drama|music,get on up,2014,english,usa,30000000,6.9,"tika sumpter,josh hopkins,aunjanue ellis",11000
color,terrence malick,139,13303319,drama|fantasy,the tree of life,2011,english,usa,32000000,6.7,"brad pitt,tye sheridan,fiona shaw",39000
color,unknown,138,150117807,crime|drama,american hustle,2013,english,usa,40000000,7.3,"jennifer lawrence,christian bale,bradley cooper",63000
color,robert zemeckis,138,93749203,drama|thriller,flight,2012,english,usa,31000000,7.3,"denzel washington,bruce greenwood,nadine velazquez",64000
color,darren aronofsky,138,101160529,action|adventure|drama,noah,2014,english,usa,125000000,5.8,"anthony hopkins,emma watson,logan lerman",71000
color,martin scorsese,138,127968405,mystery|thriller,shutter island,2010,english,usa,80000000,8.1,"leonardo dicaprio,joseph sikora,nellie sciutto",53000
color,ridley scott,138,16969390,crime|drama|thriller,the counselor,2013,english,usa,25000000,5.3,"michael fassbender,brad pitt,goran visnjic",24000
color,james mangold,138,132550960,action|adventure|sci-fi|thriller,the wolverine,2013,english,usa,120000000,6.7,"hugh jackman,tao okamoto,rila fukushima",68000
color,daniel espinosa,137,1206135,crime|drama|thriller,child 44,205,english,czech republic,50000000,6.4,"tom hardy,fares fares,michael nardone",18000
color,unknown,137,37304950,biography|crime|drama,j. edgar,2011,english,usa,35000000,6.6,"leonardo dicaprio,naomi watts,kaitlyn dever",16000
color,walter salles,137,717753,adventure|drama,on the road,2012,english,france,25000000,6.1,"kristen stewart,viggo mortensen,kirsten dunst",27000
color,unknown,137,281666058,adventure|sci-fi,the hunger games: mockingjay - part 2,2015,english,usa,160000000,6.6,"jennifer lawrence,philip seymour hoffman,josh hutcherson",38000
color,angelina jolie pitt,137,115603980,biography|drama|sport|war,unbroken,2014,english,usa,65000000,7.2,"finn wittrock,jack o'connell,alex russell",35000
color,seth macfarlane,136,42615685,comedy|western,a million ways to die in the west,2014,english,usa,40000000,6.1,"liam neeson,charlize theron,seth macfarlane",24000
color,anthony russo,136,259746958,action|adventure|sci-fi,captain america: the winter soldier,2014,english,usa,170000000,7.8,"scarlett johansson,chris evans,hayley atwell",55000
color,rob marshall,136,241063875,action|adventure|fantasy,pirates of the caribbean: on stranger tides,2011,english,usa,250000000,6.7,"johnny depp,sam claflin,stephen graham",58000
color,adam shankman,136,38509342,comedy|drama|musical|romance,rock of ages,2012,english,usa,75000000,5.9,"james martin kelly,shane hartline,celina beach",33000
color,unknown,136,52474616,drama,wall street: money never sleeps,2010,english,usa,70000000,6.3,"frank langella,austin pendleton,john buffalo mailer",13000
color,tony gilroy,135,113165635,action|adventure|thriller,the bourne legacy,2012,english,usa,125000000,6.7,"jeremy renner,scott glenn,stacy keach",31000
color,steve mcqueen,134,56667870,biography|drama|history,12 years a slave,2013,english,usa,20000000,8.1,"quvenzhané wallis,scoot mcnairy,taran killam",83000
color,paul greengrass,134,107100855,biography|drama|thriller,captain phillips,2013,english,usa,55000000,7.9,"tom hanks,chris mulkey,michael chernus",65000
color,david ayer,134,85707116,action|drama|war,fury,2014,english,usa,68000000,7.6,"brad pitt,logan lerman,jim parrack",82000
color,clint eastwood,5,47034272,biography|drama|music|musical,jersey boys,2014,english,usa,40000000,6.9,"johnny cannizzaro,steve schirripa,scott vance",16000
